rangeBinIndexMax,rangeBinIndexPhase,maxVal,processingCyclesOut,rangeBinStartIndex,rangeBinEndIndex,unwrapPhasePeak_mm,outputFilterBreathOut,outputFilterHeartOut,heartRateEst_FFT,heartRateEst_FFT_4Hz,heartRateEst_xCorr,breathingRateEst_FFT,breathingRateEst_peakCount,heartRateEst_peakCount_filtered,confidenceMetricBreathOut,confidenceMetricHeartOut,confidenceMetricHeartOut_4Hz,sumEnergyBreathWfm,sumEnergyHeartWfm,confidenceMetricHeartOut_xCorr,reserved,reserved,reserved
0,17,820883904.0,2189868,8,29,-29.27420425415039,-0.07565207779407501,-0.08106303215026855,66.796875,98.4375,60.0,69.84375,18.75,19.047618865966797,18.75,9.854083061218262,11.27972412109375,0.3188035488128662,0.5094766616821289,2.5319061279296875,187.67364501953125,99.57115936279297,0.0
0,17,1215643520.0,2189251,8,29,-29.318185806274414,-0.05908559262752533,-0.08208189904689789,67.96875,101.953125,60.0,70.078125,18.75,19.047618865966797,18.75,9.92109203338623,11.276776313781738,0.31880348920822144,0.5094777941703796,2.5319061279296875,172.3973846435547,97.96131134033203,0.0
0,17,1667200128.0,2188932,8,29,-29.42209243774414,-0.03480289876461029,-0.07919032871723175,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,18.75,9.90684700012207,11.270647048950195,0.318803608417511,0.5094765424728394,2.5319061279296875,156.368896484375,96.19880676269531,0.0
0,17,2147418112.0,2189304,8,29,-29.536928176879883,-0.010266631841659546,-0.0729103535413742,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,18.75,9.908770561218262,11.26290225982666,0.31880348920822144,0.5094775557518005,2.5319061279296875,140.83740234375,94.04681396484375,0.0
0,17,2147352576.0,2189431,8,29,-29.658679962158203,0.007972106337547302,-0.06794615089893341,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,18.75,9.886033058166504,11.255906105041504,0.31880345940589905,0.5094767808914185,2.5319061279296875,126.81721496582031,91.65281677246094,0.0
0,17,2147418112.0,2189516,8,29,-29.83759117126465,0.01948501169681549,-0.07299653440713882,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,18.75,9.918710708618164,11.251030921936035,0.3188037574291229,0.5094773769378662,2.5319061279296875,114.51515197753906,89.73442077636719,0.0
0,17,2147418112.0,2189712,8,29,-29.968399047851562,0.02413862943649292,-0.09265321493148804,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,18.75,9.898438453674316,11.248601913452148,0.3188033998012543,0.5094767808914185,2.5319061279296875,103.64630889892578,89.54000854492188,0.0
0,17,2147483648.0,2189679,8,29,-29.981252670288086,0.02207815647125244,-0.12102555483579636,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,18.75,9.961271286010742,11.248204231262207,0.31880325078964233,0.5094776749610901,2.5319061279296875,93.76912689208984,92.38660430908203,0.0
0,17,2147418112.0,2189617,8,29,-30.01694679260254,0.01626865565776825,-0.14190798997879028,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,23.4375,9.908047676086426,11.248987197875977,0.3188035786151886,0.509477436542511,2.5319061279296875,84.65687561035156,97.83621215820312,0.0
0,17,2147418112.0,2188974,8,29,-30.089384078979492,0.010499745607376099,-0.13428018987178802,67.96875,101.953125,60.0,70.3125,18.75,19.047618865966797,23.4375,9.870253562927246,11.249959945678711,0.31880345940589905,0.5094764232635498,2.5319061279296875,76.30142974853516,101.9599838256836,0.0
